cu31924024755641,English
cu31924001704240,English
cu31924001320930,English
cu31924000290324,English
cu31924024759833,English
4741363.0001.001.umich.edu,English
annualrepor1012185759newy,English
annualrepo1517186264newy,English
annualreporto411887newy,English
annualreporto46185052newy,English
annualreportspro06belf,English
4742360.0001.001.umich.edu,English
agk2408.0002.005.umich.edu,English
agz2532.0001.056.umich.edu,English
guidetonewyorka00newy,English
annualreportspro07belf,English
annualreportspro08belf,English
annualreportofr221868newy,English
annualreportupon00ruff,English
annualreportspro09belf,English
mobot31753002129390,English
cihm_89384,English
cihm_89383,English
cihm_89385,English
cihm_89386,English
cihm_89474,English
mobot31753002182241,English
annalsofroyalbot51911roya,English
annalsofscottish1718edin,English
cu31924002997629,English
seedsplantsimpor142519091911unit,English
inventoryofseeds627319231924unit,English
commercialfisher12111950unit,English
commercialfisher1391951unit,English
commercialfisher1211950unit,English
staticdiffusionm00jacc,English
woodmanualofnat00boul,English
cihm_33795,English
voyageoffranoi01legu,English
cu31924001589955,English
cu31924090302138,English
annualreportofse1915mich,English
bryologist14amer,English
limnologyoftundr00hobb,English
phylogeneticsyst00dequ,English
cu31924089529220,English
regulationofsize00adol,English
biologicaltransp00chri,English
basicmechanismsi1954nati,English
elementarybiophy00epst,English
basicmechanismsi00nati,English
natureofbiologic00alle,English
introductiontobi00stuh,English
annualreportsofd15unit,English
breedinghabitsof00lill,English
cu31924051760050,English
annualofscientif18661867bost,English
genesisofspecies187102miva,English
courseofelementar00huxl,English
lawofhereditystu1883broo,English
unityoforganismo191901ritt,English
scienceeducation1901huxl,English
essaysuponheredi189101weis,English
arcticecosystemc00brow,English
annualofscientif1870bost,English
lightbehaviorofo1911mast,English
behaviorofradioa00frer,English
historyofscience00reym,English
monographofbriti1889plow,English
physicochemicalm00nach,English
yalenorthindiaex0118yale,English
faunahawaiiensis12shar,English
faunahawaiiensis33shar,English
mastermindsofmod00brid,English
phylogenyofechini1912jack,English
livingplantdescr1913gano,English
classicsofmodern00knic,English
catalogueofscien190212roya,English
originofvertebra1908gask,English
recentdevelopmen00damp,English
biologycodeofche00nati,English
lifelikeformsinm108ande,English
scientifictechni00wash,English
speciesvarieties1904vrie,English
lecturesonplantp1907jost,English
30E8D730-D14D-408C-9CEA-6CFC67E86016,English
cu31924073916458,English
bulletinofmiscel02roya,English
plantmorphogenes00sinn,English
algaeofwesterngr00pres,English
woodyplantsinwin00core,English
researchesonfung06bull,English
morphologyofpter00spor,English
identificationof00maki,English
howtoknowgrasses00pohl,English
illustratedflora01abra,English
cihm_57922,English
handbookofplantt00whit,English
syllabusoflectur1896bige,English
bulletinofdepart18trin,English
bulletinofdepart03jama,English
keytobiologycode00nati,English
quantitativelaws1915arrh,English
journaloflinnean28190003linn,English
31753003671168,English
31753003671192,English
lifeofscienceess00sart,English
manualofmossesof1884lesq,English
problemsofcytolo00mant,English
physiologyofphot00bose,English
waterinphysiolog00craf,English
fws0bsusfi7939usfi,English
fws0bsusfi8029usfi,English
fws0busfi8122usfi,English
fossilfootmarksi00leai,English
unutilizedfishes00fiel,English
addressesdeliver1949nati,English
addressesdeliver1947nati,English
naturalistslibra00goul,English
reportonpolyzoao00hinc,English
historyofcreatio01haec,English
cu31924003101478,English
cu31924051993511,English
cu31924003403924,English
D36EDFB6-A6A7-4DA0-B735-40018CA628E2,English
cu31924090283783,English
cu31924001685464,English
cu31924003191669,English
cu31924001027493,English
cu31924052764796,English
cu31924002815342,English
cu31924003224346,English
cu31924008670006,English
cu31924051101008,English
cu31924085826091,English
cu31924001498546,English
cu31924090259239,English
cu31924073975587,English
cu31924016405650,English
cu31924003333006,English
cu31924024538823,English
cu31924024782124,English
cu31924022518223,English
cu31924000298616,English
cu31924001011448,English
cu31924002886798,English
cu31924000414908,English
mobot31753000817749,English
mobot31753002398391,English
proceedingsofb1101997biol,English
cu31924002931784,English
cu31924062780246,English
Michell1760sc82C_MS,Undetermined
Milne-Edwards1851ib08L_MS,Undetermined
Mohl1852ge72I_MS,Undetermined
Mivart1871gk14P_MS,Undetermined
Muller1838na12J-b_MS,Undetermined
Moquin-Tandon1841bx90R_MS,Undetermined
Muller1873vo87F_MS,Undetermined
Muller1838na12J-a_MS,Undetermined
Kirby2006fz26R-b,Undetermined
Kirby2006fz26R-c,Undetermined
Michell1760sc82C,Undetermined
Lemoine1865gw92L,Undetermined
Owen1849br46D_MS,Undetermined
Nathusius1872tn22V-a_MS,Undetermined
mobot31753002794649,English
transactionsproc07roya,English
transactionsproc09roya,English
Scott1874iz75H,Undetermined
Scott1878nm85C,Undetermined
Smith1841jg65P,Undetermined
annualre1218962123126main,English
insectworldbeing00fig,English
proceedingsofasi1893asi,English
transactionspro171884newz,English
annotatedcatalog35illi,English
31753003671127,English
31753003671135,English
31753003671143,English
copenhagendecisi00hemm,English
acutetoxicityofi35sand,English
greenhousepestsm22comp,English
cytologicalobser174megl,English
armyworm14flin,English
habitscontroloft19mill,English
peachborermethod15flin,English
brownfieldwoodre17telf,English
habitscontroloft20mill,English
fruittreeleafrol16flin,English
cu31924094620683,English
cu31924003410978,English
cu31924002975146,English
bulletinofusdep501525unit,English
habitscontroloft23illi,English
chinchbugbarrier13flin,English
bulletinmainea2511916main,English
bulletinmainea2761919main,English
woodascropinilli18telf,English
peachyellowsinil21teho,English
Lamarck2001aj56E,Undetermined
Loiseleur_Deslongchamps1842qc28A,Undetermined
genericrelations181creg,English
studiesongregari182spra,English
Lyell1837jf09J-a,Undetermined
Lyell1837jf09J-b,Undetermined
morphologytaxono184hume,English
cu31924024735940,English
cu31924002863045,English
cu31924073916433,English
transactionsproc06roya,English
Smith1839hr25D-a,Undetermined
Rudolphi1812tj58U,Undetermined
Smith1839hr25D-b,Undetermined
Sageret1826qj49W,Undetermined
Schlegel1843wf67J,Undetermined
Stephens1828gf73D,Undetermined
Kirby2006fz26R-d_MS,Undetermined
Kolreuter1761pk39N_MS,Undetermined
Loiseleur-Deslongchamps1842qc28A_MS,Undetermined
Muller1838na12J-c_MS,Undetermined
cu31924085804502,English
cu31924003155391,English
Owen1846yu33N_MS,Undetermined
Sturm1825cj97F,Undetermined
Muller1838na12J-c,Undetermined
cihm_43270,English
cihm_43438,English
cihm_43458,English
Sageret1826qj49W_MS,Undetermined
Youatt1845wt42Y_MS,Undetermined
Schlegel1843wf67J_MS,Undetermined
Verlot1865ss46T_MS,Undetermined
Weismann1872ix35P_MS,Undetermined
Sturm1825cj97F_MS,Undetermined
Smith1839hr25D-a_MS,Undetermined
cihm_43658,English
cihm_43659,English
cihm_43801,English
Mohl1852ge72I,Undetermined
Weber1850ka76M_MS,Undetermined
Smith1839hr25D-b_MS,Undetermined
Wagner1845wc82F_MS,Undetermined
Walther2006yw40H_MS,Undetermined
Weismann1876sc87J_MS,Undetermined
Walker1838bp62N_MS,Undetermined
journalofhorticu18712lond,English
journalofhorticu18711lond,English
transactionsproc2122roya,English
sciencegossip03lond,English
sciencegossip01lond,English
proceedings218331838geol,English
popularbritishen00cat,English
mobot31753002398250,English
greatbasinnatur11brig,English
evolutionofmind00mccaiala,English
riding1891weir,English
howtolearneasily00dear,English
inbeginninglesor00guibuoft,English
cihm_01626,English
